/Vpeak X,/Vpeak Y
0.007507183593845577,2.151925608138436
0.009227169399614025,2.168578388648548
0.01134732968959862,2.185250512640974
0.01396198375233576,2.20194375861846
0.01718793309317636,2.218659980475605
0.02116987504980653,2.235401147550605
0.02608713230904857,2.252169390720159
0.03216202101244912,2.268967055337153
0.03967025992072862,2.285796761760173
0.04895392277361212,2.302661473990277
0.06043756054411999,2.319564576347874
0.07464827607323,2.336509956880393
0.09224072864715258,2.353502093698107
0.1140282909171495,2.370546135556009
0.1410218892301968,2.387647958546613
0.1744784509170574,2.404814162553679
0.2159613887967305,2.422051936386505
0.267416222226316,2.439368656307906
0.3312653305234136,2.456770973812267
0.410526945223175,2.474263007095964
0.490526945223175,2.488750803622501
0.570526945223175,2.500996412558164
0.650526945223175,2.511600868031717
0.730526945223175,2.520957583104817
