VT("/Vpeak") (frequency=775) X,VT("/Vpeak") (frequency=775) Y,VT("/Vin") (frequency=775) X,VT("/Vin") (frequency=775) Y
0.000768559010012035,1.719789227624394,0.000768559010012035,1.604770428701314
0.000818559010012035,1.71978922752162,0.000818559010012035,1.590196585097519
0.000868559010012035,1.719789227418846,0.000868559010012035,1.579150368701919
0.000918559010012035,1.719789227316072,0.000918559010012035,1.572283363267188
0.0009660464502144027,1.719789227218462,0.0009660464502144027,1.570002726520127
0.001011448052537882,1.719789227125139,0.001011448052537882,1.571804960458996
0.001055971400180283,1.719789227033623,0.001055971400180283,1.577270425924494
0.001100435306856841,1.719789226942228,0.001100435306856841,1.586127188458167
0.001145790412428761,1.719789226849001,0.001145790412428761,1.598230759351002
0.00119333220454425,1.71978922675128,0.00119333220454425,1.613605743569798
0.00124333220454425,1.719789226648506,0.00124333220454425,1.631853868144253
