/Vin (Cout=2e-11) X,/Vin (Cout=2e-11) Y
2.861880947558536e-05,1.65
3.038826831440858e-05,1.65
3.25891581735897e-05,1.65
3.532709185896225e-05,1.65
3.873359226835395e-05,1.65
4.297245342240798e-05,1.65
4.824766093305111e-05,1.65
5.481325389721312e-05,1.65
6.298560269641203e-05,1.65
7.315869272843518e-05,1.65
8.58231476405423e-05,1.65
0.0001015899042545734,1.65
0.0001212196776230956,1.65
0.0001456596408898805,1.65
0.0001760891199142829,1.65
0.0002139766134304422,1.65
0.0002611511888464955,1.65
0.0003198924568426905,1.65
0.0003930452675182155,1.65
0.0004841686655570684,1.65
0.0005977345402547399,1.65
0.0007394006538498768,1.65
0.0009163923026833523,1.65
0.001138011737929083,1.65
0.001416134989881995,1.65
0.00176492011290033,1.65
0.002198073488808861,1.65
0.002724634789307609,1.65
0.003350195700335718,1.65
0.004083481291044589,1.65
0.004939190275148167,1.65
0.005935874679205163,1.65
0.007092807097644661,1.65
0.008429015512195645,1.65
0.009966005053780072,1.65
0.01173356620208568,1.65
0.01377779672746205,1.65
0.01617205880302736,1.65
0.01903418140994568,1.65
0.02255802377916558,1.65
0.02707938073140163,1.65
0.0332328172617869,1.65
0.04239799713607265,1.65
0.05843869421888594,1.65
0.0905200883845125,1.65
0.1514319453798713,1.65
0.273255659370589,1.65
0.5169030873520244,1.65
1.000001,1.65
1.000001000053473,1.649911769910099
1.000001000094223,1.64984453192825
1.000001000131873,1.649782409620952
1.000001000150698,1.649751348467303
1.00000100016011,1.649735817890478
1.00000100016687,1.649724664745404
1.000001000170985,1.64971787474351
1.000001000173774,1.649713273457491
1.000001000176406,1.649708929365738
1.000001000178686,1.649705167808006
1.000001000180767,1.649701734154644
1.000001000184929,1.649694866847921
1.000001000193253,1.649681132234475
1.000001000209901,1.649653663007582
1.000001000243197,1.649598724553795
1.000001000309789,1.649488847646223
1.000001000442973,1.649269093831078
1.000001000709342,1.648829586200788
1.000001001242078,1.647950570940208
1.000001002307551,1.646192540419049
1.000001004438497,1.64267647937673
1.000001008700389,1.635644357292092
1.000001017224174,1.621580113122815
1.000001034271742,1.593451624784263
1.00000106836688,1.537194648107158
1.000001136557155,1.424680694752948
1.000001272937704,1.199652788044529
1.000001545698803,0.7495969746276905
1.000002,0
1.000002908602393,0
1.00000472580718,0
1.000008360216753,0
1.0000156290359,0
1.000030166674193,0
1.000059241950779,0
1.000117392503952,0
1.000233693610297,0
1.000466295822988,0
1.00093150024837,0
1.001861909099133,0
1.003156975699364,0
1.004636621569159,0
1.0064072137802,0
1.008663289654665,0
1.011839429130292,0
1.017103064509978,0
1.02763033526935,0
1.047192206722703,0
1.082996861763309,0
1.154606171844522,0
1.297824792006948,0
1.584262032331799,0
2.142558518597343,0
2.742558518597344,0
3.342558518597344,0
3.942558518597344,0
4.542558518597343,0
5.142558518597343,0
5.742558518597343,0
6.342558518597342,0
6.942558518597342,0
7.542558518597342,0
8.142558518597342,0
8.742558518597342,0
9.342558518597341,0
9.942558518597341,0
10.54255851859734,0
11.14255851859734,0
11.74255851859734,0
12.34255851859734,0
12.94255851859734,0
13.54255851859734,0
14.14255851859734,0
14.74255851859734,0
15.34255851859734,0
15.94255851859734,0
16.54255851859734,0
17.14255851859734,0
17.74255851859734,0
18.34255851859734,0
18.94255851859734,0
19.54255851859735,0
20.14255851859735,0
20.74255851859735,0
21.34255851859735,0
21.94255851859735,0
22.54255851859735,0
23.14255851859735,0
23.74255851859736,0
24.33462140311482,0
24.93462140311483,0
25.53462140311483,0
26.13462140311483,0
26.73462140311483,0
27.33462140311483,0
27.93462140311483,0
28.53462140311483,0
29.13462140311483,0
29.73462140311484,0
30.33462140311484,0
30.48462140311484,0
30.78462140311483,0
31.38462140311483,0
31.98462140311483,0
32.13462140311483,0
32.43462140311483,0
33.03462140311482,0
33.63462140311482,0
33.78462140311482,0
34.08462140311482,0
34.68462140311481,0
35.28462140311481,0
35.88462140311481,0
36.48462140311482,0
37.08462140311482,0
37.68462140311482,0
38.28462140311482,0
38.88462140311482,0
39.48462140311482,0
40.08462140311482,0
40.68462140311483,0
41.28462140311483,0
41.88462140311483,0
42.48462140311483,0
43.08462140311483,0
43.68462140311483,0
44.28462140311483,0
44.88462140311483,0
45.48462140311484,0
46.08462140311484,0
46.68462140311484,0
47.28462140311484,0
47.88462140311484,0
48.48462140311484,0
49.08462140311484,0
49.54231070155743,0
50,0
50.00000000008934,0.0001474170119308837
50.00000000015332,0.0002529795040118188
50.00000000017361,0.0002864631198917778
50.00000000019277,0.00031807090294933
50.00000000023108,0.0003812864690644346
50.00000000027276,0.0004500474659607789
50.00000000031541,0.000520426368666449
50.00000000035886,0.0005921183543478037
50.00000000040532,0.0006687812970085361
50.00000000045809,0.0007558551118336254
50.00000000052106,0.0008597410783295345
50.00000000060098,0.0009916238496998631
50.00000000071114,0.001173380326235929
50.00000000089217,0.00147208325529391
50.00000000110853,0.001829077689308178
50.00000000137693,0.002271938370768112
50.00000000162377,0.002679216848378019
50.00000000184223,0.003039681573113739
50.00000000208833,0.003445740759389082
50.00000000233943,0.003860053610083014
50.00000000255207,0.004210916415559041
50.00000000276842,0.004567887401663029
50.00000000300771,0.004962726762869352
50.00000000328728,0.005424017501809431
