/Vpeak (Cout=1e-12) X,/Vpeak (Cout=1e-12) Y,/Vpeak (Cout=5.222222e-12) X,/Vpeak (Cout=5.222222e-12) Y,/Vpeak (Cout=7.333333e-12) X,/Vpeak (Cout=7.333333e-12) Y,/Vpeak (Cout=2e-11) X,/Vpeak (Cout=2e-11) Y,/Vin (Cout=1e-12) X,/Vin (Cout=1e-12) Y,/Vpeak (Cout=1.155556e-11) X,/Vpeak (Cout=1.155556e-11) Y
0.4585619781851611,1.740929815794565,0.4260885253823273,1.723592730188487,0.4219023165959422,1.719670440067229,0.4165173899763482,1.713744900939363,0.4585619781851611,1.741136233438575,0.4181826478997938,1.71569426054041
0.4629987538497161,1.742152514260614,0.4305516091463144,1.727210626398016,0.4246932680716429,1.722343461197398,0.4178991327754422,1.715365496156458,0.4629987538497161,1.742354790275309,0.4196315831921256,1.717300145613695
0.4676631557338949,1.74325723667273,0.4320314865148727,1.728296234917042,0.429003503898683,1.726012829515821,0.4206626183736301,1.718391264363211,0.4676631557338949,1.743455668800953,0.4225294537767891,1.720288476923025
0.4721196838465866,1.744163791672609,0.4349912412519893,1.730313336806587,0.4304020232028273,1.727094516861814,0.4248122747029752,1.722442275220803,0.4721196838465866,1.744359073799177,0.4268377377996788,1.724230508670794
0.4764617278173697,1.744926535076665,0.4395997261008492,1.733083682556186,0.4331990618111158,1.729112454961146,0.4260956838952845,1.723585873253987,0.4764617278173697,1.745119178855598,0.4281975050521226,1.725361643296754
0.4810024518754636,1.745614479417562,0.4411442241342471,1.733920916240051,0.4376104873741388,1.731936535831502,0.4286625022799032,1.725731521374052,0.4810024518754636,1.745804737114257,0.4309170395570102,1.727475888037692
0.4858955114687811,1.746248056118858,0.4442332202010431,1.735471584822671,0.4390783940979665,1.732787854634241,0.4327177056486555,1.728768675843508,0.4858955114687811,1.746436105106692,0.4351238650837637,1.730391405940542
0.4911435886663433,1.746822027946793,0.4489877929887561,1.737567370169555,0.4420142075456218,1.734370602951111,0.4378465568927064,1.732066506911832,0.4911435886663433,1.74700807165377,0.4405298986468037,1.733585360230935
0.4955717943331717,1.747234026152932,0.4553920403536783,1.739913571172026,0.4466229007810968,1.736563150054615,0.4400447185749471,1.73331620249376,0.4955717943331717,1.747418653257881,0.4428312180430408,1.734779793811074
0.5,1.747589484861762,0.4580231369893572,1.74074141719194,0.4528591149636153,1.739041763271167,0.4444410419394285,1.735557219689132,0.5,1.747772890847655,0.4474338568355149,1.736910860391935
0.5000014413701853,1.747510971474493,0.4632198768262819,1.742178190739651,0.4553834161560434,1.73990745945732,0.4497703177490483,1.737868571003175,0.5000014413701853,1.747688919940372,0.4528900732173526,1.73904837883351
0.500003499494412,1.747398859190809,0.4689021029664807,1.743489358276527,0.4603982074169185,1.741425814943782,0.451429241794297,1.738508173369484,0.500003499494412,1.747569025356155,0.4545930560100773,1.739639739664681
0.5000076157428655,1.747174667260879,0.4764860418381432,1.744894515400595,0.4660491629685478,1.742858898494181,0.4547470898847944,1.739686212296677,0.5000076157428655,1.747329260862106,0.4579990215955265,1.740726563227424
0.5000153173567964,1.746755236293669,0.4787891265570304,1.745255531353381,0.4730708720173853,1.744302129422772,0.4590528749138963,1.741033292907548,0.5000153173567964,1.746880743257147,0.462429870065787,1.741967983381606
0.5000271677601736,1.746109890134401,0.4831699290486332,1.745870773825725,0.4758479610330286,1.744785993352817,0.4642332894837983,1.742417776497704,0.5000271677601736,1.746190838145031,0.4678430226053674,1.743255965510371
0.5000468780296822,1.745036237052214,0.4875474244021671,1.746402689241705,0.4812906441726107,1.745614161097203,0.4665669705946408,1.742967521361953,0.5000468780296822,1.745043951875805,0.4701498029017317,1.743738039296636
0.5000488792951634,1.744927158147877,0.4919660906345731,1.746867131304143,0.4868126584431398,1.746314560880822,0.4712343328163258,1.743946936434792,0.5000488792951634,1.744927545884366,0.4747633634944602,1.744598043905461
0.5000501615935481,1.744918504073144,0.4965526712627649,1.747283153445659,0.4939909561545822,1.747052944630016,0.4769380599438453,1.74495466871441,0.5000501615935481,1.74485296355254,0.4804292803019861,1.745488667937086
0.50005084276226,1.744916826433184,0.5,1.747557334536599,0.5,1.747549788123574,0.484278267503952,1.745999631122608,0.50005084276226,1.744813346027459,0.4878277774150748,1.746425518838082
0.5000514739695067,1.744915266577641,0.5000012740587731,1.747502738206657,0.5000020584776725,1.747470047995695,0.492139133751976,1.746869078456259,0.5000514739695067,1.744776635119393,0.4939138887075374,1.747040901200829
0.5000525618361722,1.744912575475497,0.5000024884455559,1.747450774083931,0.5000036104918908,1.747410102750059,0.5,1.747538595203414,0.5000525618361722,1.74471336678852,0.5,1.74754375813103
0.5000547375695032,1.744907191135497,0.5000049172191215,1.747346934256012,0.5000067145203273,1.747290343811669,0.5000015001887439,1.747501657129756,0.5000547375695032,1.744586837009318,0.5000012167549804,1.747504100660896
0.5000590890361654,1.744896420521497,0.5000082636046985,1.747203935190087,0.5000099735839368,1.747164641362215,0.5000025619130571,1.747475763599635,0.5000590890361654,1.744333804978755,0.5000022203779586,1.747471631811881
0.5000677919694896,1.74487487684816,0.500013057470027,1.746999067136873,0.5000111184712845,1.74712046696312,0.5000046853616836,1.747423931163764,0.5000677919694896,1.743827851010367,0.5000042276239149,1.74740672054538
0.500085197836138,1.744831783983559,0.5000136326405453,1.746974476097947,0.500011447964103,1.747111020875526,0.5000064712796434,1.747380413726064,0.500085197836138,1.742816383295526,0.5000059071890509,1.747352472435257
0.5001200095694349,1.744745579840776,0.5000140008940965,1.746962353271521,0.5000116418447668,1.747110955779445,0.5000068043221987,1.747372299082682,0.5001200095694349,1.740795207562138,0.5000070003951228,1.747317175513866
0.5001896330360287,1.74457310276066,0.5000141992460201,1.746962259793127,0.5000118054104515,1.747110900444566,0.5000069650706475,1.747369256650284,0.5001896330360287,1.736759885359335,0.5000075541132852,1.747299299163421
0.5003288799692163,1.744227892013802,0.5000143575807673,1.746962184547869,0.5000119303033083,1.747110858091128,0.5000070580933066,1.747369245348256,0.5003288799692163,1.728717282005446,0.5000086615496101,1.747263538363883
0.5006073738355914,1.743536565671154,0.500014495290698,1.746962118939138,0.5000121800890217,1.747110773331297,0.5000071339595963,1.747369236056668,0.5006073738355914,1.71274363410955,0.5000088408178274,1.747257746959612
0.5011643615683417,1.742151097821206,0.5000147707105593,1.746961987629417,0.5000126796604486,1.747110603768852,0.5000071974430715,1.74736922826253,0.5011643615683417,1.68123777231643,0.5000089679624558,1.747257519853309
0.5022766295441505,1.739377751263359,0.5000153215502821,1.7469617249355,0.5000136788033024,1.747110264608047,0.500007324410022,1.747369212663786,0.5022766295441505,1.620046240209756,0.5000090764665671,1.747257496651219
0.5035290624837159,1.736250299766002,0.5000164232297275,1.746961199485415,0.50001567708901,1.74710958625097,0.5000075783439231,1.747369181457843,0.5035290624837159,1.553805258052455,0.5000091528598188,1.747257480274576
0.5049558342331211,1.73268732727236,0.5000186265886184,1.746960148524766,0.5000196736604251,1.747108229481541,0.5000080862117251,1.74736911903888,0.5049558342331211,1.481637461693707,0.5000093056463223,1.747257447500619
0.5066840009673024,1.728376051308332,0.5000230333064002,1.746958046512451,0.5000276668032554,1.747105515791252,0.5000091019473292,1.747368994194025,0.5066840009673024,1.398698709841737,0.5000096112193292,1.74725738193604
0.5089171787390434,1.722815076023434,0.5000318467419638,1.746953842245168,0.500043653088916,1.747100087863807,0.5000111334185373,1.747368744493722,0.5089171787390434,1.298361457734633,0.500010222365343,1.747257250793027
0.5106993718743604,1.718385956203952,0.5000494736130909,1.746945432842668,0.5000756256602371,1.74708922989327,0.5000151963609536,1.747368245064481,0.5106993718743604,1.223476766692193,0.5000114446573706,1.747256988493834
0.5126130724478732,1.713638882931128,0.5000847273553453,1.746928610691959,0.5001395708028794,1.747067505740383,0.5000233222457862,1.747367246102794,0.5126130724478732,1.147868329068049,0.5000138892414258,1.747256463876588
0.5145138759682302,1.708932841597631,0.5001552348398539,1.746894953450875,0.500267461088164,1.747024026264942,0.5000395740154513,1.74736524777843,0.5145138759682302,1.077395417586219,0.5000187784095361,1.747255414593777
0.5164944808861068,1.704038738548181,0.5002962498088712,1.746827590168514,0.5005232416587332,1.746936954778695,0.5000720775547816,1.747361249556671,0.5164944808861068,1.008562766655539,0.5000285567457569,1.747253315857157
0.5185303302470865,1.69901819189138,0.5005782797469058,1.746692689640023,0.5010348027998716,1.746762444011879,0.5001370846334421,1.747353247009568,0.5185303302470865,0.9423907031095652,0.5000481134181983,1.747249117722377
0.5206405360133602,1.693825013827173,0.5011423396229751,1.7464223342017,0.5020579250821483,1.74641243225272,0.5002670987907631,1.747337218848961,0.5206405360133602,0.8783803985143868,0.5000872267630813,1.747240718861019
0.5228248788498329,1.688460871396146,0.5022704593751135,1.745880203519787,0.5033321131873739,1.745975483609271,0.5005271271054053,1.747305079504472,0.5228248788498329,0.8166971393266093,0.5001654534528471,1.747223911096312
0.5250914357893027,1.682907159876365,0.503598781840141,1.745240562253772,0.5047889916325441,1.745475265289854,0.5010471837346895,1.747240526881056,0.5250914357893027,0.757267401612609,0.5003219068323789,1.747190257775837
0.5274455422325265,1.677152189120378,0.5051297551026983,1.744502675908219,0.5065502226711709,1.744870323696193,0.5019772000466101,1.747124433877277,0.5274455422325265,0.7001161255162545,0.5006348135914424,1.747122816959601
0.5298946495727621,1.671179284337685,0.5070069316621924,1.743597821750492,0.5088208337314044,1.744090513905082,0.5030083977860687,1.746995078115256,0.5298946495727621,0.6452315880147927,0.5012606271095693,1.7469875102087
0.5324465007231951,1.664971294683157,0.5094758612128523,1.742408106650583,0.5106014648612851,1.743479143217383,0.5041489791448318,1.746851583412124,0.5324465007231951,0.5926165713331402,0.5023424394501205,1.746752727414798
0.535110103797284,1.658508259343236,0.5112693853503337,1.74154420906636,0.5125169921307482,1.742821639582227,0.5054652827917784,1.746685742662325,0.535110103797284,0.5422682631142071,0.5035505399696162,1.74648977657706
0.5378955769901661,1.651767842763113,0.5132293241312028,1.740600515180077,0.5144143608649565,1.742170550869328,0.5070606344703678,1.746484634920631,0.5378955769901661,0.4941858806128623,0.504925955582297,1.74618997039786
0.5408145190481163,1.644724503578918,0.5151462483774506,1.739677889126334,0.5163923356802372,1.741491986998547,0.5091572729927285,1.746220315273146,0.5408145190481163,0.4483676998450619,0.5065810633392915,1.745829008381559
0.5438802342163145,1.637349036260788,0.5171519109618897,1.73871292098688,0.5184245765384189,1.740794998842372,0.5109419873822703,1.745995338388713,0.5438802342163145,0.4048121566421627,0.5087091530792787,1.745364884311585
0.546672289205075,1.630651524926278,0.5192094269607291,1.737723391205321,0.5205311421569092,1.740072723665194,0.5128457029168697,1.745755389240976,0.546672289205075,0.3688369399156537,0.5104868860702758,1.744977230215185
0.5501111339624062,1.622428089963957,0.5213444083296435,1.736697017230023,0.5227114529458804,1.739325381598273,0.5147552986516722,1.745514726940438,0.5501111339624062,0.3288910334382529,0.5123811885868919,1.744564233969126
0.5532315597919831,1.614990465802132,0.5235545143636082,1.735634968775723,0.5249737161187354,1.738550183232931,0.5167415295062961,1.745264433217293,0.5532315597919831,0.2964007121933678,0.5142761997794686,1.74415115993858
