/Vpeak (pulse_width=1e-05) X,/Vpeak (pulse_width=1e-05) Y,/Vpeak (pulse_width=1.166667e-05) X,/Vpeak (pulse_width=1.166667e-05) Y,/Vpeak (pulse_width=1.5e-05) X,/Vpeak (pulse_width=1.5e-05) Y,/Vpeak (pulse_width=1.333333e-05) X,/Vpeak (pulse_width=1.333333e-05) Y,/Vpeak (pulse_width=1.666667e-05) X,/Vpeak (pulse_width=1.666667e-05) Y,/Vpeak (pulse_width=1.833333e-05) X,/Vpeak (pulse_width=1.833333e-05) Y
5.801176789762096e-10,0.0008154600653737683,5.801176789762096e-10,0.0008154600653737683,5.801176789762096e-10,0.0008154600653737683,5.801176789762096e-10,0.0008154600653737683,5.801176789762096e-10,0.0008154600653737683,5.801176789762096e-10,0.0008154600653737683
6.666773468815512e-10,0.0009510354398214993,6.666773468815512e-10,0.0009510354398214993,6.666773468815512e-10,0.0009510354398214993,6.666773468815512e-10,0.0009510354398214993,6.666773468815512e-10,0.0009510354398214993,6.666773468815512e-10,0.0009510354398214993
7.731227297335386e-10,0.001118088220857796,7.731227297335386e-10,0.001118088220857796,7.731227297335386e-10,0.001118088220857796,7.731227297335386e-10,0.001118088220857796,7.731227297335386e-10,0.001118088220857796,7.731227297335386e-10,0.001118088220857796
8.911061624866978e-10,0.001303712107961892,8.911061624866978e-10,0.001303712107961892,8.911061624866978e-10,0.001303712107961892,8.911061624866978e-10,0.001303712107961892,8.911061624866978e-10,0.001303712107961892,8.911061624866978e-10,0.001303712107961892
1.029898916863057e-09,0.001522725633938784,1.029898916863057e-09,0.001522725633938784,1.029898916863057e-09,0.001522725633938784,1.029898916863057e-09,0.001522725633938784,1.029898916863057e-09,0.001522725633938784,1.029898916863057e-09,0.001522725633938784
1.2268735381796e-09,0.001834850408576987,1.2268735381796e-09,0.001834850408576987,1.2268735381796e-09,0.001834850408576987,1.2268735381796e-09,0.001834850408576987,1.2268735381796e-09,0.001834850408576987,1.2268735381796e-09,0.001834850408576987
1.43760922407217e-09,0.002170942666926008,1.43760922407217e-09,0.002170942666926008,1.43760922407217e-09,0.002170942666926008,1.43760922407217e-09,0.002170942666926008,1.43760922407217e-09,0.002170942666926008,1.43760922407217e-09,0.002170942666926008
1.588410652219461e-09,0.002413048154612876,1.588410652219461e-09,0.002413048154612876,1.588410652219461e-09,0.002413048154612876,1.588410652219461e-09,0.002413048154612876,1.588410652219461e-09,0.002413048154612876,1.588410652219461e-09,0.002413048154612876
1.744379186492767e-09,0.002664950652213821,1.744379186492767e-09,0.002664950652213821,1.744379186492767e-09,0.002664950652213821,1.744379186492767e-09,0.002664950652213821,1.744379186492767e-09,0.002664950652213821,1.744379186492767e-09,0.002664950652213821
1.948933566814474e-09,0.002997392857054114,1.948933566814474e-09,0.002997392857054114,1.948933566814474e-09,0.002997392857054114,1.948933566814474e-09,0.002997392857054114,1.948933566814474e-09,0.002997392857054114,1.948933566814474e-09,0.002997392857054114
