/Vin (pulse_width=1.833333e-05) X,/Vin (pulse_width=1.833333e-05) Y,/Vin (pulse_width=1.666667e-05) X,/Vin (pulse_width=1.666667e-05) Y,/Vin (pulse_width=1.5e-05) X,/Vin (pulse_width=1.5e-05) Y,/Vin (pulse_width=1.333333e-05) X,/Vin (pulse_width=1.333333e-05) Y,/Vin (pulse_width=1.166667e-05) X,/Vin (pulse_width=1.166667e-05) Y,/Vin (pulse_width=1e-05) X,/Vin (pulse_width=1e-05) Y
4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698
5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634
7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568
1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377
1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996
2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981
4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953
9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909
1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279
3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655
5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139
5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325
5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314
5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454
5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136
5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496
6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193
6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369
7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826
7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338
8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943
8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363
9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186
1e-06,1.65,1e-06,1.65,1e-06,1.65,1e-06,1.65,1e-06,1.65,1e-06,1.65
1.048213554552623e-06,1.65,1.048213554552623e-06,1.65,1.048213554552623e-06,1.65,1.048213554552623e-06,1.65,1.048213554552623e-06,1.65,1.048213554552623e-06,1.65
1.14464066365787e-06,1.65,1.14464066365787e-06,1.65,1.14464066365787e-06,1.65,1.14464066365787e-06,1.65,1.14464066365787e-06,1.65,1.14464066365787e-06,1.65
1.213698376568041e-06,1.65,1.213698376568041e-06,1.65,1.213698376568041e-06,1.65,1.213698376568041e-06,1.65,1.213698376568041e-06,1.65,1.213698376568041e-06,1.65
1.285662387491065e-06,1.65,1.285662387491065e-06,1.65,1.285662387491065e-06,1.65,1.285662387491065e-06,1.65,1.285662387491065e-06,1.65,1.285662387491065e-06,1.65
1.363508962300726e-06,1.65,1.363508962300726e-06,1.65,1.363508962300726e-06,1.65,1.363508962300726e-06,1.65,1.363508962300726e-06,1.65,1.363508962300726e-06,1.65
1.452409643152364e-06,1.65,1.452409643152364e-06,1.65,1.452409643152364e-06,1.65,1.452409643152364e-06,1.65,1.452409643152364e-06,1.65,1.452409643152364e-06,1.65
1.554788654880284e-06,1.65,1.554788654880284e-06,1.65,1.554788654880284e-06,1.65,1.554788654880284e-06,1.65,1.554788654880284e-06,1.65,1.554788654880284e-06,1.65
1.645703262246721e-06,1.65,1.645703262246721e-06,1.65,1.645703262246721e-06,1.65,1.645703262246721e-06,1.65,1.645703262246721e-06,1.65,1.645703262246721e-06,1.65
1.827532476979594e-06,1.65,1.827532476979594e-06,1.65,1.827532476979594e-06,1.65,1.827532476979594e-06,1.65,1.827532476979594e-06,1.65,1.827532476979594e-06,1.65
1.963108332821533e-06,1.65,1.963108332821533e-06,1.65,1.963108332821533e-06,1.65,1.963108332821533e-06,1.65,1.963108332821533e-06,1.65,1.963108332821533e-06,1.65
2.096802694734057e-06,1.65,2.096802694734057e-06,1.65,2.096802694734057e-06,1.65,2.096802694734057e-06,1.65,2.096802694734057e-06,1.65,2.096802694734057e-06,1.65
2.260109916876656e-06,1.65,2.260109916876656e-06,1.65,2.260109916876656e-06,1.65,2.260109916876656e-06,1.65,2.260109916876656e-06,1.65,2.260109916876656e-06,1.65
2.445296688344307e-06,1.65,2.445296688344307e-06,1.65,2.445296688344307e-06,1.65,2.445296688344307e-06,1.65,2.445296688344307e-06,1.65,2.445296688344307e-06,1.65
2.655930774151551e-06,1.65,2.655930774151551e-06,1.65,2.655930774151551e-06,1.65,2.655930774151551e-06,1.65,2.655930774151551e-06,1.65,2.655930774151551e-06,1.65
2.902747889766161e-06,1.65,2.902747889766161e-06,1.65,2.902747889766161e-06,1.65,2.902747889766161e-06,1.65,2.902747889766161e-06,1.65,2.902747889766161e-06,1.65
3.193619654071932e-06,1.65,3.193619654071932e-06,1.65,3.193619654071932e-06,1.65,3.193619654071932e-06,1.65,3.193619654071932e-06,1.65,3.193619654071932e-06,1.65
3.5384074642978e-06,1.65,3.5384074642978e-06,1.65,3.5384074642978e-06,1.65,3.5384074642978e-06,1.65,3.5384074642978e-06,1.65,3.5384074642978e-06,1.65
3.951456701482623e-06,1.65,3.951456701482623e-06,1.65,3.951456701482623e-06,1.65,3.951456701482623e-06,1.65,3.951456701482623e-06,1.65,3.951456701482623e-06,1.65
4.451374804029132e-06,1.65,4.451374804029132e-06,1.65,4.451374804029132e-06,1.65,4.451374804029132e-06,1.65,4.451374804029132e-06,1.65,4.451374804029132e-06,1.65
