VT("/Vpeak") X,VT("/Vpeak") Y,VT("/Vin") X,VT("/Vin") Y
0.3293194420914603,1.088757512333818,0.3293194420914603,1.088944821815925
0.329927997459145,1.101950167784892,0.329927997459145,1.102139027817267
0.3311451081945145,1.127546051312676,0.3311451081945145,1.127737908860777
0.3317536635621992,1.13995980929408,0.3317536635621992,1.140153117908907
0.3329707742975687,1.164044505987141,0.3329707742975687,1.164240619613902
0.3335793296652534,1.175725352782572,0.3335793296652534,1.17592282434021
0.3347964404006228,1.19838808350012,0.3347964404006228,1.19858817980641
0.3354049957683076,1.209379290395055,0.3354049957683076,1.209580657398879
0.336622106503677,1.230704008450931,0.336622106503677,1.230907831329195
0.3390563279744159,1.270843673284459,0.3390563279744159,1.271052088865327
0.3402734387097854,1.289724687877864,0.3402734387097854,1.289935257133444
0.3408819940774701,1.298881799089489,0.3408819940774701,1.299093410614497
0.3420991048128396,1.316648079217692,0.3420991048128396,1.316861700840968
0.3445333262835785,1.350089673760543,0.3445333262835785,1.35030705188273
0.3457348219197454,1.365622229833739,0.3457348219197454,1.365841347408657
0.3463355697378289,1.373158322058392,0.3463355697378289,1.373378281641627
0.3475370653739958,1.387785253649523,0.3475370653739958,1.38800683623149
0.3499400566463295,1.415338992502031,0.3499400566463295,1.415563607781195
0.3511415522824964,1.428309993208809,0.3511415522824964,1.428536031458877
0.3517423001005799,1.434603269007598,0.3517423001005799,1.434829995928506
0.3529437957367468,1.446817998156881,0.3529437957367468,1.447046050889934
0.3553467870090806,1.469827711260325,0.3553467870090806,1.470058238030009
0.3565482826452475,1.480659599258262,0.3565482826452475,1.480891286480284
0.3589512739175812,1.501064369011826,0.3589512739175812,1.501298213186357
0.3601527695537481,1.510669973563882,0.3601527695537481,1.510904828341295
0.3625557608260819,1.528764711994061,0.3625557608260819,1.529001441890114
0.3637572564622488,1.537282862960751,0.3637572564622488,1.537520470966618
0.3661602477345826,1.553329093119516,0.3661602477345826,1.553568327003551
0.3673617433707495,1.560882903231288,0.3673617433707495,1.561122898019027
0.3697647346430833,1.575112540735077,0.3697647346430833,1.575353940898259
